"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 1983","318.25","318.00","319.50","316.50","8.27K","-0.08%"
"Jun 23, 1983","318.50","316.75","318.50","315.00","13.83K","1.19%"
"Jun 22, 1983","314.75","314.25","316.00","314.00","10.64K","0.24%"
"Jun 21, 1983","314.00","313.25","314.75","312.00","11.95K","0.72%"
"Jun 20, 1983","311.75","308.62","312.25","308.00","10.22K","0.97%"
"Jun 17, 1983","308.75","309.88","310.25","308.00","12.33K","-0.32%"
"Jun 16, 1983","309.75","309.75","310.00","307.75","12.86K","-0.08%"
"Jun 15, 1983","310.00","310.75","311.00","309.00","11.27K","-0.48%"
"Jun 14, 1983","311.50","309.75","313.50","309.50","17.76K","0.16%"
"Jun 13, 1983","311.00","309.25","312.50","307.25","18.27K","0.65%"
"Jun 10, 1983","309.00","308.75","309.25","307.75","11.75K","-0.08%"
"Jun 09, 1983","309.25","307.75","309.75","307.50","19.91K","1.23%"
"Jun 08, 1983","305.50","302.75","306.00","302.25","0.24K","0.41%"
"Jun 07, 1983","304.25","304.62","305.25","303.50","8.74K","-0.65%"
"Jun 06, 1983","306.25","306.50","307.00","305.25","9.56K","-0.33%"
"Jun 03, 1983","307.25","307.12","307.50","305.00","12.71K","0.16%"
"Jun 02, 1983","306.75","305.00","307.00","303.75","15.27K","1.40%"
"Jun 01, 1983","302.50","304.12","305.50","302.25","15.85K","-0.66%"
"May 31, 1983","304.50","301.88","305.00","301.75","12.19K","0.74%"
"May 27, 1983","302.25","305.38","305.75","302.00","15.07K","-1.14%"
